Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Firearm Used Flag,Location
KC19032729,05/04/2019,18:36,05/04/2019,18:30,05/04/2019,19:48,Vehicular – Injury,90D,Driving Under the Influence,545,E I 470 HWY E and RAYTOWN RD,KANSAS CITY,64134,PJ6784,SPD,N,ARR CHA SUS VDR,W,M,24,false,
KC19032855,05/05/2019,10:46,05/05/2019,10:30,,,Casualty,,,116,W 3RD ST and N WALNUT ST,KANSAS CITY,64106,,CPD,N,VIC,W,F,26,false,
KC19032932,05/05/2019,16:34,05/05/2019,16:35,,,Dead Body,09A,Murder,635,5600  NE POE AVE,KANSAS CITY,,PC0213,SCP,N,ARR CHA SUS,W,M,30,false,
KC19033032,05/06/2019,02:27,05/06/2019,02:27,,,Assault (Aggravated),13A,Aggravated Assault,121,400  N PARK AVE,KANSAS CITY,,PJ0202,CPD,N,VIC,W,F,26,false,"400  N PARK AVE
KANSAS CITY
(39.117113, -94.554732)"
KC19033117,05/06/2019,11:11,05/06/2019,10:58,05/06/2019,11:52,Domestic Violence Assault (Non-Aggravated),,,331,2700  MONROE AVE,KANSAS CITY,64132,PJ2267,EPD,Y,ARR CHA SUS,B,M,22,false,
KC19033170,05/06/2019,14:25,04/25/2019,13:43,,,Loss,,,315,300  HARDESTY AVE,KANSAS CITY,64124,PJ0446,EPD,N,VIC,,M,53,false,
KC19033340,05/07/2019,02:14,05/07/2019,02:25,,,Possession/Sale/Distribution of a Controlled Substance,,,,635 and HORIZON,RIVERSIDE,,,OSPD,N,ARR CHA SUS,U,M,32,false,
KC19033465,05/07/2019,12:12,05/07/2019,12:30,05/07/2019,12:30,Stealing – Shoplift,90J,Trespass of Real Property,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19033657,05/08/2019,06:24,05/08/2019,05:00,05/08/2019,06:10,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,322,E 20TH ST and S JACKSON AVE,KANSAS CITY,,PJ1716,EPD,Y,CHA SUS,B,M,26,true,
KC19033724,05/08/2019,11:01,05/08/2019,10:10,,,State Warrant Arrest,,,541,US 71 HWY N and E BANNISTER RD,KANSAS CITY,,PJ6451,SPD,N,SUS,B,M,35,false,
KC19033928,05/08/2019,22:43,05/08/2019,22:43,,,State Warrant Arrest,,,,E 61ST ST and PROSPECT AVE,KANSAS CITY,,,,N,SUS,W,F,27,false,"E 61ST ST and PROSPECT AVE
KANSAS CITY
(39.015914, -94.556003)"
KC19034118,05/09/2019,13:36,05/09/2019,13:36,,,Possession of Stolen Property,,,121,1900  INDEPENDENCE BLVD,KANSAS CITY,,PJ0544,CPD,N,ARR CHA SUS,W,M,,false,
KC19034225,05/09/2019,19:38,05/09/2019,16:45,,,Robbery (Armed Street),120,Robbery,632,1400  NE VIVION ROAD,KANSAS CITY,,,SCP,N,VIC,W,M,,true,"1400  NE VIVION ROAD
KANSAS CITY
(39.181063, -94.56207)"
KC19034251,05/09/2019,15:31,05/09/2019,15:31,05/09/2019,23:30,Unfounded,,,,5600  E 31 ST,KANSAS CITY,64127,,,N,VIC,W,M,,false,"5600  E 31 ST
KANSAS CITY 64127
(39.068736, -94.518154)"
KC19034322,05/10/2019,10:06,04/15/2019,09:00,,,Loss,,,144,E 43RD ST and PASEO,KANSAS CITY,,PJ3410,CPD,N,VIC,B,M,53,false,
KC19034518,05/10/2019,23:42,05/10/2019,20:30,,,Attempt to Locate Motor Vehicle,,,142,WOODLAND AVE and E 41ST ST,KANSAS CITY,64110,PJ3253,CPD,N,SUS,B,M,30,false,
KC19034652,05/11/2019,14:38,05/11/2019,15:30,,,Assault (Non-Aggravated),13B,Simple Assault,,9800  HARVARD,KC,,,,Y,VIC,B,F,68,false,
KC19034741,05/11/2019,22:23,05/11/2019,22:23,,,Alcohol Influence Report,90D,Driving Under the Influence,332,E 36TH ST and PROSPECT AVE,KANSAS CITY,64128,PJ2910,EPD,N,ARR CHA SUS,B,F,61,false,
KC19034951,05/12/2019,21:31,05/12/2019,21:31,05/12/2019,21:32,Vehicular – Injury,,,535,M 150 HWY and HOLMES RD,KANSAS CITY,64147,,SPD,N,VIC VDR,W,M,54,false,
KC19035014,05/13/2019,05:47,05/13/2019,05:47,05/13/2019,08:54,Vehicular – Fatality,,,212,EASTWOOD TRFY and ARARAT DR,KANSAS CITY,64129,PJ4182,MPD,N,VIC,,M,50,false,
KC19035300,05/13/2019,22:34,05/13/2019,22:31,05/14/2019,03:00,Alcohol Influence Report,90D,Driving Under the Influence,412,ENGLEWOOD and 169 HWY,KANSAS CITY,64118,,NPD,N,ARR SUS CHA,W,F,47,false,
KC19035349,05/14/2019,04:23,05/14/2019,04:23,,,Robbery (Armed Street),120,Robbery,313,INDEPENDENCE AVE and INDIANA AVE,KANSAS CITY,64124,PJ0609,EPD,N,SUS,B,M,26,true,
KC19035512,05/14/2019,14:37,05/14/2019,16:17,,,Stealing – Other,23H,All Other Larceny,121,1700  INDEPENDENCE BLVD,KANSAS CITY,64106,PJ0663,CPD,N,SUS,B,M,35,false,
KC19035583,05/14/2019,19:00,05/14/2019,17:53,,,Abuse of a Child,23H,All Other Larceny,222,5000  S CHESTNUT,KANSAS CITY,64130,,MPD,Y,VIC,B,F,,false,
KC19035798,05/15/2019,14:19,02/15/2019,08:36,05/06/2019,08:25,Suicide,,,,00  S 18 ST,KANSAS CITY,,,,N,VIC,W,M,,false,
KC19035956,05/16/2019,05:26,05/16/2019,05:00,,,Assault (Non-Aggravated),13B,Simple Assault,121,E 5TH ST and LOCUST LN,KANSAS CITY,64106,PJ0418,CPD,N,VIC,W,M,25,false,
