Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Firearm Used Flag,Location
KC19042286,06/07/2019,01:45,06/07/2019,01:45,06/07/2019,01:50,Burglary (Non-Residential),220,Burglary/Breaking and Entering,643,8500  N FLINTLOCK RD,KANSAS CITY,64157,PC0303,SCP,N,VIC,,,,false,
KC19042503,06/07/2019,14:38,06/07/2019,17:42,,,City/Municipal Warrant Arrest,,,542,OLD SANTA FE RD and EASTERN AVE,KANSAS CITY,64138,,SPD,N,ARR CHA,B,M,20,false,
KC19042914,06/09/2019,12:40,06/09/2019,12:40,,,Outside State Warrant Arrest,,,543,114TH ST and DELMAR AVE,KANSAS CITY,,,,N,SUS,W,M,52,false,
KC19042964,06/09/2019,17:01,06/09/2019,17:54,06/09/2019,21:38,Mental Health/Crisis Intervention Team (CIT) Report,,,543,7300  110 ST,KANSAS CITY,64134,,SPD,N,VIC,B,M,,false,
KC19043036,06/10/2019,00:26,06/10/2019,02:28,,,Trespass of Real Property,90J,Trespass of Real Property,113,W 13TH ST and MAIN ST,KANSAS CITY,,,CPD,N,VIC,,,,false,"W 13TH ST and MAIN ST
KANSAS CITY
(39.098604, -94.583238)"
KC19043229,06/10/2019,16:54,06/10/2019,16:54,,,Vehicular – Injury,,,544,E BANNISTER RD and S JAMES A REED RD,KANSAS CITY,64134,,SPD,N,ARR CHA SUS VDR,W,F,20,false,
KC19043244,06/10/2019,16:48,06/10/2019,16:48,,,Obstructing and Resisting an Officer,90Z,All Other Offenses,543,6900  E 114 TER,KANSAS CITY,64138,,SPD,N,ARR CHA SUS,B,M,31,false,
KC19043271,06/10/2019,19:20,06/10/2019,15:30,,,Identity Theft,26F,Identity Theft,221,5000  BLATIMORE ST,KANSAS CITY,64112,,MPD,N,VIC,W,F,34,false,
KC19043335,06/11/2019,00:11,06/11/2019,00:11,,,Obstructing and Resisting an Officer,90Z,All Other Offenses,322,1800  ELMWOOD AVE,KANSAS CITY,64127,PJ1646,EPD,N,ARR CHA SUS,W,M,28,false,"1800  ELMWOOD AVE
KANSAS CITY 64127
(39.089855, -94.529092)"
KC19043528,06/11/2019,10:45,06/10/2019,18:45,06/10/2019,19:15,Elder Abuse,13B,Simple Assault,232,900  E 68TH ST,KANSAS CITY,64130,PJ5138,MPD,N,VIC,B,F,95,false,"900  E 68TH ST
KANSAS CITY 64130
(39.004243, -94.577153)"
KC19043606,06/11/2019,21:25,05/01/2019,21:34,,,Loss,,,233,8100  S TROOST,KANSAS CITY,64131,,MPD,N,CMP VIC,B,F,37,false,
KC19043742,06/12/2019,09:52,06/12/2019,09:00,06/12/2019,09:52,Stolen Auto,,,,23 ST and TOPPING AVE,KANSAS CITY,,,EPD,N,CMP VIC,W,M,54,false,
KC19043811,06/12/2019,14:23,06/05/2019,12:00,06/12/2019,12:00,Stolen Auto,,,133,W 38TH ST and SOUTHWEST TRFY,KANSAS CITY,64111,PJ2990,CPD,N,VIC,W,F,31,false,
KC19044074,06/13/2019,12:00,06/13/2019,11:50,,,Outside State Warrant Arrest,,,,E 79TH ST and S PROSPECT AV S,KANSAS CITY,64132,,,N,ARR CHA SUS,W,F,38,false,
KC19044204,06/13/2019,19:43,06/13/2019,19:15,,,Assault (Aggravated),13A,Aggravated Assault,123,E 27TH TER and S PASEO AVE,KANSAS CITY,,PJ2261,CPD,N,VIC,W,M,30,true,
KC19044304,06/14/2019,07:14,06/14/2019,09:30,,,Vehicular – Non-Injury,,,644,I 435 HWY and NE COOKINGHAM DR,KANSAS CITY,64157,,SCP,N,ARR CHA VDR,W,M,36,false,
KC19044364,06/14/2019,12:05,06/12/2019,16:30,06/13/2019,09:30,Stolen Auto,240,Motor Vehicle Theft,312,E FRONT ST and S CHOUTEAU TRFY,KANSAS CITY,64120,,EPD,N,SUS,B,M,35,false,
KC19044607,06/15/2019,10:18,06/15/2019,12:40,,,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19044678,06/15/2019,09:50,06/15/2019,09:30,,,Property Damage,290,Vandalism/Destruction of Property,334,E 45TH ST and CHELSEA AVE,KANSAS CITY,,PJ3644,EPD,N,SUS,B,F,,false,
KC19044723,06/15/2019,18:48,06/15/2019,15:00,,,Assault (Non-Aggravated),13B,Simple Assault,141,E 21 ST and PROSPECT AVE,KANSAS CITY,64127,,CPD,N,VIC,B,M,62,false,
KC19044764,06/15/2019,23:31,06/15/2019,23:31,,,Vehicular – Non-Injury,90D,Driving Under the Influence,334,E 45TH ST and BENTON BLVD,KANSAS CITY,64130,PJ3675,EPD,N,ARR CHA VDR,B,M,35,false,
KC19044776,06/16/2019,02:05,06/16/2019,02:00,,,Disorderly Conduct,90C,Disorderly Conduct,133,WESTPORT RD and MILL ST,KANSAS CITY,,,,N,ARR CHA SUS,W,M,23,false,
KC19044811,06/16/2019,06:47,06/16/2019,06:47,,,Rape,11A,Forcible Rape,121,1700  INDEPENDENCE BLVD,KANSAS CITY,,PJ0663,CPD,N,VIC,W,F,35,false,
KC19044862,06/16/2019,13:09,06/15/2019,23:30,,,Property Damage,290,Vandalism/Destruction of Property,423,300  NW 96TH ST,KANSAS CITY,64155,,NPD,N,VIC,W,M,36,false,
KC19044921,06/16/2019,18:30,06/16/2019,18:20,06/16/2019,18:30,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,213,7500  E 50TH TER,KANSAS CITY,64133,PJ4144,MPD,Y,VIC,B,F,,false,
KC19045271,06/17/2019,20:18,01/01/2018,:,,,Molestation,,,,2800  LICATA DR,KANSAS CITY,64129,,,N,SUS,W,M,24,false,"2800  LICATA DR
KANSAS CITY 64129
(39.07298, -94.500529)"
KC19045424,06/18/2019,13:24,05/22/2019,08:00,,,Identity Theft,26C,Impersonation,644,11600  N EWING AVE,KANSAS CITY,64156,PC0041,SCP,N,VIC,W,F,44,false,
KC19045468,06/18/2019,14:18,06/15/2019,14:00,06/16/2019,17:00,Property Damage,290,Vandalism/Destruction of Property,212,5800  E 56TH ST,KANSAS CITY,64129,PJ4617,MPD,N,VIC,W,F,66,false,"5800  E 56TH ST
KANSAS CITY 64129
(39.0243, -94.518256)"
KC19045602,06/18/2019,22:38,06/18/2019,22:38,,,Disorderly Conduct,90C,Disorderly Conduct,,48 TER and CRANE,KANSAS CITY,,,,N,SUS,W,M,,false,
KC19045673,06/19/2019,07:46,06/19/2019,07:43,,,Vehicular – Non-Injury,,,534,I 470 HWY W and HILLCREST RD RD,KANSAS CITY,64134,,SPD,N,CHA VDR,W,F,23,false,
KC19046015,06/20/2019,11:21,06/20/2019,11:20,,,Robbery (Armed Street),120,Robbery,,HICKMAN MILLS DR and 112,KANSAS CITY,64134,,,N,SUS,,M,29,true,
KC19046337,06/21/2019,14:05,06/21/2019,14:55,,,Embezzlement,,,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,ARR CHA SUS,B,M,22,false,
KC19046408,06/21/2019,19:32,06/21/2019,19:25,,,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,312,ST JOHN AVE and BELMONT BLVD,KANSAS CITY,,PJ0252,EPD,Y,VIC,W,F,51,false,
KC19046462,06/21/2019,18:42,06/21/2019,23:40,,,City/Municipal Warrant Arrest,,,999,00  NE TUDOR RD,LEES SUMMIT,64086,,OSPD,N,ARR CHA SUS,W,F,24,false,
KC19046566,06/22/2019,12:31,06/22/2019,12:25,,,Vehicular – Non-Injury,,,422,N AMBASSADOR DR and N BOARDWALK AVE,KANSAS CITY,64154,,NPD,N,ARR CHA SUS VDR,B,F,29,false,
KC19046612,06/22/2019,16:08,06/22/2019,10:30,06/22/2019,13:00,Stealing from Building/Residence,23D,Theft From Building,211,E 54TH ST and PROSPECT AVE,KANSAS CITY,64130,PJ4242,MPD,N,VIC,B,F,20,false,
KC19046623,06/22/2019,16:31,06/22/2019,12:05,06/22/2019,15:34,Stealing from Auto (Theft from Auto),23F,Theft From Motor Vehicle,115,30 ST and OAK ST,KANSAS CITY,64108,,CPD,N,VIC,W,M,29,false,
KC19046652,06/22/2019,18:21,06/22/2019,18:39,,,Stealing – Shoplift,23C,Shoplifting,,8500  STATE LINE RD,KANSAS CITY,64114,,,N,VIC,,,,false,
KC19046705,06/23/2019,00:50,06/23/2019,01:10,,,Recovered Stolen Auto,240,Motor Vehicle Theft,125,2000  LINWOOD,KANSAS CITY,64109,,CPD,N,ARR CHA INA SUS VDR,B,M,55,false,
KC19046736,06/23/2019,04:02,06/23/2019,03:30,,,Robbery (Armed Street),120,Robbery,535,INVERNESS DR and W 133RD ST,KANSAS CITY,64145,PJ7404,SPD,N,SUS,B,M,,false,
KC19046796,06/23/2019,13:42,06/23/2019,13:42,06/23/2019,14:28,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,234,8600  EUCLID AVE,KANSAS CITY,64131,,,N,SUS,B,M,22,false,
KC19046840,06/23/2019,17:20,06/23/2019,15:12,06/23/2019,16:45,Stolen Auto,240,Motor Vehicle Theft,641,8200  N DITZLER AVE,KANSAS CITY,64157,PC0406,SCP,N,VIC,B,M,22,false,
KC19046862,06/23/2019,18:46,06/23/2019,18:46,,,Stolen Auto,280,Stolen Property Offenses,232,E 66TH TER and TROOST AVE,KANSAS CITY,64131,PJ5054,MPD,N,VIC,,,,false,
KC19046906,06/23/2019,22:08,06/23/2019,22:08,,,City/Municipal Warrant Arrest,,,134,4600  JC NICHOLS,KANSAS CITY,,,CPD,N,ARR CHA SUS,W,M,54,false,"4600  JC NICHOLS
KANSAS CITY
(39.043754, -94.588404)"
KC19046951,06/24/2019,03:44,06/24/2019,03:44,,,Vehicular – Fatality,90D,Driving Under the Influence,415,N US 169 HWY N and NW BARRY RD,KANSAS CITY,,PC0408,NPD,N,ARR CHA VDR,B,F,27,false,
KC19047213,06/24/2019,23:23,06/25/2019,01:00,,,City/Municipal Warrant Arrest,,,999,00  S WATER ST,LIBERTY,64068,,OSPD,N,ARR CHA SUS,W,M,31,false,
KC19047240,06/25/2019,07:34,06/25/2019,08:01,,,Vehicular – Non-Injury,,,321,PROSPECT AVE and E TRUMAN RD,KANSAS CITY,64127,PJ1334,EPD,N,ARR CHA VDR,B,F,31,false,
KC19047274,06/25/2019,10:54,06/25/2019,10:54,,,Suicide – Attempted,,,212,6400  CRABAPPLE LN,KANSAS CITY,64129,,MPD,N,VIC,B,F,24,false,
KC19047296,06/25/2019,12:59,06/25/2019,11:20,,,Property Damage,290,Vandalism/Destruction of Property,243,OLDHAM RD and OAKWOOD RD,KANSAS CITY,64138,PJ5676,MPD,N,VIC,W,F,51,false,
KC19047327,06/25/2019,15:01,05/25/2019,12:00,,,Loss,,,115,1000  E 27TH ST,KANSAS CITY,,,,N,VIC,I,M,28,false,"1000  E 27TH ST
KANSAS CITY
(39.077746, -94.571272)"
KC19047547,06/26/2019,10:16,06/23/2019,15:00,06/26/2019,07:00,Loss,,,999,9900  UNKNOWN ST,KANSAS CITY,64111,,CPD,N,VIC,W,M,51,false,
KC19047648,06/26/2019,16:26,06/25/2019,05:04,06/25/2019,10:15,Loss,,,112,E 9TH ST and GRAND BLVD,KANSAS CITY,64106,PJ0797,CPD,N,VIC,W,M,51,false,
KC19047806,06/27/2019,09:24,06/25/2019,18:00,06/25/2019,22:00,Fraud / Stealing Through Deceit (Scam/Confidence Game),,,123,1600  E 17TH ST,KANSAS CITY,64108,,CPD,N,VIC,B,M,19,false,
KC19048017,06/27/2019,20:08,06/27/2019,21:19,,,Property Damage,,,213,8600  E 61 TER,KANSAS CITY,64133,,MPD,N,VIC,W,F,31,false,
KC19048083,06/28/2019,06:12,06/28/2019,06:12,06/28/2019,06:45,State Warrant Arrest,,,531,3700  E BANNISTER RD,KANSAS CITY,64137,,SPD,N,ARR CHA SUS,W,M,36,false,
KC19048112,06/28/2019,09:04,06/28/2019,09:04,,,Outside State Warrant Arrest,,,144,SWOPE PKWY and N BRUCE R WATKINS DR HWY,KANSAS CITY,64132,,CPD,N,SUS,B,M,47,false,
KC19048315,06/28/2019,20:29,06/28/2019,20:39,,,Stealing – Other,,,231,00  E 81 ST,KANSAS CITY,64114,,MPD,N,VIC,W,F,87,false,
KC19048556,06/29/2019,20:49,06/29/2019,18:50,,,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,545,RAYTOWN RD and E M 150 HWY E,KANSAS CITY,64149,PJ7439,SPD,Y,CMP VIC,W,F,23,false,
KC19048594,06/29/2019,22:20,06/29/2019,22:20,,,Miscellaneous City Ordinance Violation,,,112,E 12TH ST and OAK ST,KANSAS CITY,,PJ1028,CPD,N,ARR CHA SUS,B,M,23,false,
KC19048735,06/30/2019,14:53,06/30/2019,14:53,,,Outside State Warrant Arrest,,,641,N I 435 HWY and NE SHOAL CREEK PKWY,KANSAS CITY,,PC0465,SCP,N,SUS,W,M,40,false,
KC19048909,07/01/2019,09:36,07/01/2019,09:36,,,Stealing – Shoplift,23H,All Other Larceny,341,E TRUMAN RD and OAKLEY AVE,KANSAS CITY,,PJ1311,EPD,N,ARR CHA SUS,W,M,28,false,
KC19049258,07/02/2019,11:31,07/02/2019,11:30,,,Trespass of Real Property,90J,Trespass of Real Property,122,2100  INDEPENDENCE BLVD,KANSAS CITY,,PJ0683,CPD,N,VIC,,,,false,
KC19049396,07/02/2019,21:38,07/02/2019,21:10,,,Recovered Property,,,111,1600  BROADWAY BLVD,KANSAS CITY,64106,PJ1398,CPD,N,VIC,W,M,46,false,
KC19049408,07/02/2019,22:21,07/02/2019,22:21,,,Outside State Warrant Arrest,,,,40 HWY and BELLAIRE AVE,KANSAS CITY,,,,N,ARR CHA SUS,W,F,37,false,
KC19049488,07/03/2019,08:21,07/03/2019,08:25,,,Tow-In Report/Authorization Not to Tow,90Z,All Other Offenses,,33 ST S and TROOST BLVD S,KANSAS CITY,64109,,,N,VIC,W,M,61,false,
KC19049538,07/03/2019,11:12,07/03/2019,11:12,,,Fraud / Stealing Through Deceit (Scam/Confidence Game),26A,False Pretenses / Swindle,345,14400  E US 40 HWY,KANSAS CITY,64055,PJ4006,EPD,N,VIC,,,,false,
KC19049586,07/03/2019,13:52,07/03/2019,13:52,,,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,342,5400  BONITA AVE,KANSAS CITY,,PJ2337,EPD,N,SUS,B,M,,false,
KC19049618,07/03/2019,15:55,07/03/2019,15:37,,,Stealing – Other,23D,Theft From Building,413,6400  N CHATHAM AVE,KANSAS CITY,64151,,NPD,N,SUS,B,F,,false,"6400  N CHATHAM AVE
KANSAS CITY 64151
(39.210025, -94.642822)"
KC19049661,07/03/2019,18:22,07/03/2019,18:20,,,Outside State Warrant Arrest,,,313,ROBERTS ST and ASKEW AVE,KANSAS CITY,64124,PJ0580,EPD,N,ARR CHA INA SUS,,M,52,false,
KC19049700,07/03/2019,21:58,07/03/2019,21:19,,,Recovered Stolen Auto,,,341,E 17TH ST and HARDESTY AVE,KANSAS CITY,64127,PJ1545,EPD,N,VIC,W,F,,false,
KC19049719,07/03/2019,23:22,07/03/2019,23:22,07/03/2019,23:22,Assault (Aggravated),13A,Aggravated Assault,344,33 ST and OAKLEY AVE,KANSAS CITY,64117,,EPD,N,VIC,B,M,33,true,
KC19049952,07/04/2019,23:48,07/04/2019,23:38,,,Assault (Aggravated),13A,Aggravated Assault,415,N US 169 HWY N and NW 68TH ST,KANSAS CITY,64118,PC0514,NPD,N,VIC,W,M,25,true,
KC19050036,07/05/2019,08:51,07/04/2019,20:00,,,Property Damage,290,Vandalism/Destruction of Property,,10400  51ST ST,KANSAS CITY,64130,,EPD,N,VIC,W,F,43,false,
KC19050109,07/05/2019,15:03,07/05/2019,15:03,,,Dead Body,,,422,1800  NW 93RD TER,KANSAS CITY,64154,PP0268,NPD,N,VIC DEC,W,M,,false,"1800  NW 93RD TER
KANSAS CITY 64154
(39.264061, -94.60127)"
KC19050360,07/06/2019,11:49,07/06/2019,11:49,07/06/2019,11:49,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19050411,07/06/2019,15:11,07/06/2019,15:11,,,Rape,11A,Forcible Rape,221,5200  WORNALL RD,KANSAS CITY,64112,PJ4203,MPD,N,VIC,B,F,27,false,"5200  WORNALL RD
KANSAS CITY 64112
(39.032338, -94.592117)"
KC19050428,07/06/2019,18:14,07/06/2019,18:00,07/06/2019,19:09,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,241,7000  PROSPECT AVE,KANSAS CITY,64130,PJ5341,MPD,Y,CMP VIC,B,F,29,false,
KC19050626,07/07/2019,14:14,07/07/2019,14:17,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,121,2600  AMIE CT,KANSAS CITY,,PJ0552,CPD,Y,SUS,B,M,43,true,"2600  AMIE CT
KANSAS CITY
(39.108546, -94.550727)"
KC19050722,07/07/2019,21:58,07/07/2019,22:15,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,415,4400  NW 79 TER,KANSAS CITY,64152,,NPD,Y,VIC,B,M,23,false,
KC19050852,07/08/2019,10:54,07/08/2019,10:54,,,Eluding / Resisting a Lawful Stop,,,,8700  SMART,INDEPENDENCE,,,,N,ARR CHA SUS,W,F,35,false,
KC19050977,07/08/2019,17:49,07/08/2019,17:49,,,Stealing from Auto (Auto Part or Accessory),23F,Theft From Motor Vehicle,633,4000  N BENNINGTON AVE,KANSAS CITY,64119,,SCP,N,VIC,W,M,55,false,
KC19050987,07/08/2019,18:00,07/08/2019,18:00,07/08/2019,18:00,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19051067,07/08/2019,22:28,07/08/2019,22:28,,,Domestic Violence Assault (Aggravated),200,Arson,342,2800  OAKLEY AVE,KANSAS CITY,64127,PJ2369,EPD,Y,VIC,B,M,44,false,
KC19051297,07/09/2019,18:12,06/14/2019,23:30,,,Property Damage,290,Vandalism/Destruction of Property,125,N BRUCE R WATKINS DR and E LINWOOD BLVD,KANSAS CITY,64109,,CPD,N,VIC,W,M,26,false,
KC19051357,07/09/2019,22:19,07/09/2019,22:19,07/09/2019,23:30,City/Municipal Warrant Arrest,,,234,E 85TH ST and PROSPECT AVE,KANSAS CITY,64132,PJ6130,MPD,N,ARR CHA SUS,B,M,26,false,
KC19051450,07/10/2019,10:15,10/30/2018,17:00,03/22/2019,09:00,Stealing – Other,23H,All Other Larceny,115,3000  CHERRY ST,KANSAS CITY,64109,PJ2451,CPD,N,VIC,,,,false,
KC19051515,07/10/2019,13:48,07/09/2019,09:47,07/09/2019,10:47,Stealing – Other,23H,All Other Larceny,544,8200  E BANNISTER RD,KANSAS CITY,64137,PJ6592,SPD,N,VIC,B,F,51,false,
KC19051536,07/10/2019,14:52,07/09/2019,19:00,07/10/2019,08:30,Stolen Auto,240,Motor Vehicle Theft,641,7600  N CHURCH RD,KANSAS CITY,64158,PC0430,SCP,N,VIC,,,,false,"7600  N CHURCH RD
KANSAS CITY 64158
(39.231148, -94.465704)"
KC19051786,07/11/2019,12:06,07/11/2019,12:40,,,Outside State Warrant Arrest,,,,3800  NW PRAIRIE VIEW RD,KANSAS CITY,,,,N,ARR CHA SUS,W,F,34,false,
KC19051932,07/11/2019,20:06,07/11/2019,20:06,,,Stealing – Shoplift,23C,Shoplifting,133,4000  MILL ST,KANSAS CITY,,PJ3226,CPD,N,VIC,,,,false,"4000  MILL ST
KANSAS CITY
(39.053635, -94.595998)"
KC19052224,07/12/2019,19:36,07/12/2019,21:15,,,City/Municipal Warrant Arrest,,,999,00  NE TUDOR RD,LEES SUMMIT,64086,,OSPD,N,ARR CHA SUS,W,M,31,false,
KC19052265,07/13/2019,00:33,07/13/2019,00:33,,,Assault (Aggravated),13A,Aggravated Assault,334,4400  LAWN AVE,KANSAS CITY,64130,PJ3627,EPD,N,VIC,B,M,,true,"4400  LAWN AVE
KANSAS CITY 64130
(39.04541, -94.53011)"
KC19052297,07/13/2019,04:47,07/13/2019,05:02,,,City/Municipal Warrant Arrest,,,531,E 100TH TER and HOLMES RD,KANSAS CITY,64131,PJ6695,SPD,N,ARR CHA SUS,B,M,39,false,
KC19052342,07/13/2019,10:52,07/13/2019,10:52,,,Assault (Non-Aggravated),13B,Simple Assault,213,6600  BLUE PARKWAY,KANSAS CITY,64133,,MPD,Y,VIC,W,F,33,false,
KC19052410,07/13/2019,15:45,07/13/2019,15:47,,,State Warrant Arrest,,,114,W 29TH ST and PENN VALLEY DR,KANSAS CITY,64108,PJ2317,CPD,N,ARR CHA SUS,B,M,45,false,
KC19052555,07/14/2019,07:36,07/14/2019,07:36,,,State Warrant Arrest,,,,23 ST and TOPPING AVE,KANSAS CITY,64127,,,N,ARR CHA SUS,B,M,34,false,
KC19052853,07/15/2019,10:28,07/15/2019,10:28,,,Suicide,,,631,1200  NE PARVIN RD,KANSAS CITY,,,SCP,N,VIC,W,M,56,false,"1200  NE PARVIN RD
KANSAS CITY
(39.170223, -94.567613)"
KC19052900,07/15/2019,13:00,07/14/2019,04:30,07/14/2019,04:40,Rape,11A,Forcible Rape,314,E 9TH ST and KENSINGTON AVE,KANSAS CITY,64124,PJ0899,EPD,N,VIC,W,F,36,true,
KC19052973,07/15/2019,17:11,07/05/2019,09:00,07/15/2019,11:00,Stealing – Other,23H,All Other Larceny,221,0  E 55TH ST,KANSAS CITY,64113,PJ4331,MPD,N,VIC,W,M,28,false,
KC19052993,07/15/2019,17:49,07/15/2019,17:49,,,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,ARR CHA SUS,B,M,23,false,
KC19053062,07/15/2019,22:28,07/15/2019,22:28,,,State Warrant Arrest,,,223,E 62ND ST and SWOPE PKWY,KANSAS CITY,64130,PJ4862,MPD,N,SUS,B,F,55,false,
KC19053448,07/17/2019,08:39,07/16/2019,21:00,07/17/2019,07:00,Stealing – Other,23H,All Other Larceny,643,8700  NE SHOAL CREEK PKWY,KANSAS CITY,64157,PC0312,SCP,N,VIC,,,,false,
KC19053528,07/17/2019,13:55,07/17/2019,07:54,,,Interdiction,,,115,00  W PERSHING RD,KANSAS CITY,,PJ1831,CPD,N,SUS,W,F,21,false,
KC19053580,07/17/2019,16:38,07/17/2019,16:38,,,Recovered Stolen Auto,280,Stolen Property Offenses,312,700  FULLER AVE,KANSAS CITY,64126,PJ0863,EPD,N,VIC,W,M,40,false,
KC19053726,07/18/2019,09:26,07/18/2019,09:26,,,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,ARR CHA SUS,B,F,,false,
KC19053731,07/18/2019,09:25,07/18/2019,09:25,,,Domestic Violence Robbery (Armed),120,Robbery,134,13 and PROSPECT,KANSAS CITY,,,CPD,Y,SUS,B,M,27,true,
KC19053750,07/18/2019,08:28,07/11/2019,:,07/18/2019,08:00,Property Damage,290,Vandalism/Destruction of Property,532,10900  HILLCREST RD,KANSAS CITY,,PJ6986,SPD,N,VIC,W,M,,false,"10900  HILLCREST RD
KANSAS CITY
(38.928156, -94.525569)"
KC19053784,07/18/2019,12:48,07/17/2019,08:51,,,Terroristic Threats,13C,Intimidation,635,4000  N BELLAIRE,KANSAS CITY,64119,,SCP,N,SUS,W,F,35,false,
KC19053945,07/18/2019,23:40,07/18/2019,23:35,,,Trespass of Real Property,90J,Trespass of Real Property,113,1300  E GRAND AVE,KANSAS CITY,,,,N,ARR CHA SUS,B,M,27,false,
KC19054054,07/19/2019,12:07,12/25/2018,04:00,,,Stolen Auto,240,Motor Vehicle Theft,321,2800  E 10TH ST,KANSAS CITY,64106,PJ0924,EPD,N,VIC,B,F,39,false,
KC19054127,07/19/2019,15:43,07/19/2019,13:45,,,Soliciting Prostitution,40A,Prostitution,000,2300  SILVER CT,KANSAS CITY,66106,,OSPD,N,SUS,B,F,19,false,"2300  SILVER CT
KANSAS CITY 66106
(39.071999, -94.655466)"
KC19054196,07/19/2019,13:54,07/19/2019,11:31,07/19/2019,11:55,Stealing – Other,23D,Theft From Building,632,4500  N BRIGHTON AVE,KANSAS CITY,64119,PC1064,SCP,N,SUS,W,F,37,false,
KC19054285,07/20/2019,07:54,07/20/2019,07:54,,,City/Municipal Warrant Arrest,,,321,E 11TH ST and BENTON BLVD,KANSAS CITY,64127,PJ0995,EPD,N,ARR CHA SUS,W,F,33,false,
KC19054407,07/20/2019,17:52,07/20/2019,13:00,,,Stealing – Other,23H,All Other Larceny,636,4500  NE WORLDS OF FUN AVE,KANSAS CITY,64161,PC1118,SCP,N,VIC,W,F,44,false,
KC19054479,07/20/2019,22:31,07/20/2019,22:17,,,Vehicular – Non-Injury,,,641,NE 152 HWY and N FLINTLOCK RD,KANSAS CITY,64156,,SCP,N,CHA VDR,W,M,18,false,
KC19054766,07/22/2019,06:06,07/22/2019,10:20,07/22/2019,11:20,City/Municipal Warrant Arrest,,,000,00  S WATER ST,LIBERTY,64068,,OSPD,Y,ARR CHA,W,M,37,false,
KC19054784,07/22/2019,09:58,07/22/2019,09:58,,,Property Damage,290,Vandalism/Destruction of Property,213,8300  E BLUE PARKWAY,KANSAS CITY,64133,,MPD,N,VIC,,,,false,
KC19054799,07/22/2019,11:36,07/22/2019,12:24,,,Sodomy - Juvenile,11B,Forcible Sodomy,241,6900  BELLEFONTAINE AVE,KANSAS CITY,64130,PJ5318,MPD,Y,VIC,B,M,,false,
KC19054939,07/22/2019,17:10,07/21/2019,19:00,,,Stealing – Other,23H,All Other Larceny,115,00  W PERSHING RD,KANSAS CITY,64108,PJ1831,CPD,N,SUS,W,M,51,false,
KC19054965,07/23/2019,00:03,07/23/2019,00:03,,,Possession/Sale/Distribution of a Controlled Substance,,,332,E LINWOOD BLVD and MONTGALL AVE,KANSAS CITY,64128,PJ2653,EPD,N,ARR CHA SUS,B,F,29,false,
KC19055037,07/23/2019,10:59,07/23/2019,11:30,07/23/2019,11:45,Assault (Aggravated),90C,Disorderly Conduct,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,W,M,54,false,
KC19055227,07/23/2019,19:32,07/23/2019,19:32,,,Assault (Non-Aggravated),,,535,14500  S US 71 HWY,KANSAS CITY,64147,,SPD,N,ARR CHA SUS,B,M,20,false,
KC19055422,07/24/2019,15:06,07/24/2019,15:06,,,Disorderly Conduct,90C,Disorderly Conduct,112,E 10TH ST and MAIN ST,KANSAS CITY,64106,PJ0862,CPD,N,VIC,,,,false,
KC19055561,07/25/2019,00:58,07/25/2019,00:50,,,Assault (Non-Aggravated),13B,Simple Assault,113,E 14TH ST and WALNUT ST,KANSAS CITY,64106,,CPD,N,VIC,W,F,20,false,
KC19055676,07/25/2019,13:08,07/25/2019,13:08,,,Miscellaneous Investigation,,,121,WABASH AVE and PENDLETON AVE,KANSAS CITY,64124,PJ0269,CPD,N,SUS,B,M,,false,
KC19055722,07/25/2019,15:37,07/25/2019,14:30,,,Assault (Aggravated),13A,Aggravated Assault,125,E 35TH ST and WAYNE AVE,KANSAS CITY,64109,PJ2750,CPD,N,VIC,B,F,20,false,
KC19055750,07/25/2019,17:14,07/25/2019,17:14,,,Assault (Non-Aggravated),13B,Simple Assault,134,W 48TH ST and JEFFERSON ST,KANSAS CITY,64112,PJ3781,CPD,N,VIC SUS,W,M,26,false,
KC19055803,07/25/2019,13:58,07/25/2019,13:03,,,Property Damage,,,134,600  W 46TH ST,KANSAS CITY,64111,,CPD,N,VIC,,,,false,
